series_id,period_date,year,period,month,period_abbr,period_name,value,sizeclass_code,industry_code,industry_text,state_code,state_text,dataelement_code,dataelement_text
JTS000000000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,3.8,0,0,Total nonfarm,0,Total US,HI,Hires
JTS000000000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,3.9,0,0,Total nonfarm,0,Total US,HI,Hires
JTS000000000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,3.8,0,0,Total nonfarm,0,Total US,HI,Hires
JTS100000000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,4.2,0,100000,Total private,0,Total US,HI,Hires
JTS100000000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,4.3,0,100000,Total private,0,Total US,HI,Hires
JTS100000000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,4.2,0,100000,Total private,0,Total US,HI,Hires
JTS100000000000001HIR         ,1/1/2019,2019,M01,1,JAN,January,4.1,1,100000,Total private,0,Total US,HI,Hires
JTS100000000000001HIR         ,1/1/2020,2020,M01,1,JAN,January,4.6,1,100000,Total private,0,Total US,HI,Hires
JTS100000000000001HIR         ,1/1/2021,2021,M01,1,JAN,January,4.1,1,100000,Total private,0,Total US,HI,Hires
JTS100000000000002HIR         ,1/1/2019,2019,M01,1,JAN,January,4.4,2,100000,Total private,0,Total US,HI,Hires
JTS100000000000002HIR         ,1/1/2020,2020,M01,1,JAN,January,4.3,2,100000,Total private,0,Total US,HI,Hires
JTS100000000000002HIR         ,1/1/2021,2021,M01,1,JAN,January,4.3,2,100000,Total private,0,Total US,HI,Hires
JTS100000000000003HIR         ,1/1/2019,2019,M01,1,JAN,January,4.5,3,100000,Total private,0,Total US,HI,Hires
JTS100000000000003HIR         ,1/1/2020,2020,M01,1,JAN,January,4.8,3,100000,Total private,0,Total US,HI,Hires
JTS100000000000003HIR         ,1/1/2021,2021,M01,1,JAN,January,4.5,3,100000,Total private,0,Total US,HI,Hires
JTS100000000000004HIR         ,1/1/2019,2019,M01,1,JAN,January,4.3,4,100000,Total private,0,Total US,HI,Hires
JTS100000000000004HIR         ,1/1/2020,2020,M01,1,JAN,January,3.9,4,100000,Total private,0,Total US,HI,Hires
JTS100000000000004HIR         ,1/1/2021,2021,M01,1,JAN,January,4.3,4,100000,Total private,0,Total US,HI,Hires
JTS100000000000005HIR         ,1/1/2019,2019,M01,1,JAN,January,3.2,5,100000,Total private,0,Total US,HI,Hires
JTS100000000000005HIR         ,1/1/2020,2020,M01,1,JAN,January,3.6,5,100000,Total private,0,Total US,HI,Hires
JTS100000000000005HIR         ,1/1/2021,2021,M01,1,JAN,January,3.6,5,100000,Total private,0,Total US,HI,Hires
JTS100000000000006HIR         ,1/1/2019,2019,M01,1,JAN,January,1.8,6,100000,Total private,0,Total US,HI,Hires
JTS100000000000006HIR         ,1/1/2020,2020,M01,1,JAN,January,1.8,6,100000,Total private,0,Total US,HI,Hires
JTS100000000000006HIR         ,1/1/2021,2021,M01,1,JAN,January,1.9,6,100000,Total private,0,Total US,HI,Hires
JTS110099000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,4.4,0,110099,Mining and logging,0,Total US,HI,Hires
JTS110099000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,2.3,0,110099,Mining and logging,0,Total US,HI,Hires
JTS110099000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,2.9,0,110099,Mining and logging,0,Total US,HI,Hires
JTS230000000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,5.7,0,230000,Construction,0,Total US,HI,Hires
JTS230000000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,5.5,0,230000,Construction,0,Total US,HI,Hires
JTS230000000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,4.7,0,230000,Construction,0,Total US,HI,Hires
JTS300000000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,2.7,0,300000,Manufacturing,0,Total US,HI,Hires
JTS300000000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,2.5,0,300000,Manufacturing,0,Total US,HI,Hires
JTS300000000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,2.9,0,300000,Manufacturing,0,Total US,HI,Hires
JTS320000000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,2.3,0,320000,Durable goods manufacturing,0,Total US,HI,Hires
JTS320000000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,2.3,0,320000,Durable goods manufacturing,0,Total US,HI,Hires
JTS320000000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,2.5,0,320000,Durable goods manufacturing,0,Total US,HI,Hires
JTS340000000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,3.4,0,340000,Nondurable goods manufacturing,0,Total US,HI,Hires
JTS340000000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,2.9,0,340000,Nondurable goods manufacturing,0,Total US,HI,Hires
JTS340000000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,3.4,0,340000,Nondurable goods manufacturing,0,Total US,HI,Hires
JTS400000000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,4.1,0,400000,"Trade, transportation, and utilities",0,Total US,HI,Hires
JTS400000000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,4.3,0,400000,"Trade, transportation, and utilities",0,Total US,HI,Hires
JTS400000000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,4.4,0,400000,"Trade, transportation, and utilities",0,Total US,HI,Hires
JTS420000000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,2.4,0,420000,Wholesale trade,0,Total US,HI,Hires
JTS420000000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,2.4,0,420000,Wholesale trade,0,Total US,HI,Hires
JTS420000000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,2.7,0,420000,Wholesale trade,0,Total US,HI,Hires
JTS440000000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,4.6,0,440000,Retail trade,0,Total US,HI,Hires
JTS440000000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,5.1,0,440000,Retail trade,0,Total US,HI,Hires
JTS440000000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,5.1,0,440000,Retail trade,0,Total US,HI,Hires
JTS480099000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,4.2,0,480099,"Transportation, warehousing, and utilities",0,Total US,HI,Hires
JTS480099000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,4.2,0,480099,"Transportation, warehousing, and utilities",0,Total US,HI,Hires
JTS480099000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,4.1,0,480099,"Transportation, warehousing, and utilities",0,Total US,HI,Hires
JTS510000000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,3,0,510000,Information,0,Total US,HI,Hires
JTS510000000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,2.9,0,510000,Information,0,Total US,HI,Hires
JTS510000000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,2.9,0,510000,Information,0,Total US,HI,Hires
JTS510099000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,2.1,0,510099,Financial activities,0,Total US,HI,Hires
JTS510099000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,2.5,0,510099,Financial activities,0,Total US,HI,Hires
JTS510099000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,2.3,0,510099,Financial activities,0,Total US,HI,Hires
JTS520000000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,1.6,0,520000,Finance and insurance,0,Total US,HI,Hires
JTS520000000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,2.2,0,520000,Finance and insurance,0,Total US,HI,Hires
JTS520000000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,1.9,0,520000,Finance and insurance,0,Total US,HI,Hires
JTS530000000000000HIR         ,1/1/2019,2019,M01,1,JAN,January,3.6,0,530000,Real estate and rental and leasing,0,Total US,HI,Hires
JTS530000000000000HIR         ,1/1/2020,2020,M01,1,JAN,January,3.2,0,530000,Real estate and rental and leasing,0,Total US,HI,Hires
JTS530000000000000HIR         ,1/1/2021,2021,M01,1,JAN,January,3.4,0,530000,Real estate and rental and leasing,0,Total US,HI,Hires
