period_date,year,period,period_abbr,value,industry_text,dataelement_code,dataelement_text,ratelevel_code
1/1/2019,2019,M01,JAN,5741,Total nonfarm,HI,Hires,L
1/1/2020,2020,M01,JAN,5974,Total nonfarm,HI,Hires,L
1/1/2021,2021,M01,JAN,5465,Total nonfarm,HI,Hires,L
1/1/2019,2019,M01,JAN,3.8,Total nonfarm,HI,Hires,R
1/1/2020,2020,M01,JAN,3.9,Total nonfarm,HI,Hires,R
1/1/2021,2021,M01,JAN,3.8,Total nonfarm,HI,Hires,R
1/1/2019,2019,M01,JAN,7478,Total nonfarm,JO,Job openings,L
1/1/2020,2020,M01,JAN,7154,Total nonfarm,JO,Job openings,L
1/1/2021,2021,M01,JAN,7099,Total nonfarm,JO,Job openings,L
1/1/2019,2019,M01,JAN,4.7,Total nonfarm,JO,Job openings,R
1/1/2020,2020,M01,JAN,4.5,Total nonfarm,JO,Job openings,R
1/1/2021,2021,M01,JAN,4.7,Total nonfarm,JO,Job openings,R
1/1/2019,2019,M01,JAN,1689,Total nonfarm,LD,Layoffs and discharges,L
1/1/2020,2020,M01,JAN,1788,Total nonfarm,LD,Layoffs and discharges,L
1/1/2021,2021,M01,JAN,1724,Total nonfarm,LD,Layoffs and discharges,L
1/1/2019,2019,M01,JAN,1.1,Total nonfarm,LD,Layoffs and discharges,R
1/1/2020,2020,M01,JAN,1.2,Total nonfarm,LD,Layoffs and discharges,R
1/1/2021,2021,M01,JAN,1.2,Total nonfarm,LD,Layoffs and discharges,R
1/1/2019,2019,M01,JAN,301,Total nonfarm,OS,Other separations,L
1/1/2020,2020,M01,JAN,358,Total nonfarm,OS,Other separations,L
1/1/2021,2021,M01,JAN,294,Total nonfarm,OS,Other separations,L
1/1/2019,2019,M01,JAN,0.2,Total nonfarm,OS,Other separations,R
1/1/2020,2020,M01,JAN,0.2,Total nonfarm,OS,Other separations,R
1/1/2021,2021,M01,JAN,0.2,Total nonfarm,OS,Other separations,R
1/1/2019,2019,M01,JAN,3521,Total nonfarm,QU,Quits,L
1/1/2020,2020,M01,JAN,3568,Total nonfarm,QU,Quits,L
