series_id,period_date,year,period,month,period_abbr,period_name,value,sizeclass_code,industry_code,industry_text,state_code,state_text,dataelement_code,dataelement_text
JTS000000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,4.7,0,0,Total nonfarm,0,Total US,JO,Job openings
JTS000000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,4.5,0,0,Total nonfarm,0,Total US,JO,Job openings
JTS000000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,4.7,0,0,Total nonfarm,0,Total US,JO,Job openings
JTS100000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,5,0,100000,Total private,0,Total US,JO,Job openings
JTS100000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,4.7,0,100000,Total private,0,Total US,JO,Job openings
JTS100000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,5,0,100000,Total private,0,Total US,JO,Job openings
JTS100000000000001JOR         ,1/1/2019,2019,M01,1,JAN,January,4.4,1,100000,Total private,0,Total US,JO,Job openings
JTS100000000000001JOR         ,1/1/2020,2020,M01,1,JAN,January,5.2,1,100000,Total private,0,Total US,JO,Job openings
JTS100000000000001JOR         ,1/1/2021,2021,M01,1,JAN,January,5.5,1,100000,Total private,0,Total US,JO,Job openings
JTS100000000000002JOR         ,1/1/2019,2019,M01,1,JAN,January,5,2,100000,Total private,0,Total US,JO,Job openings
JTS100000000000002JOR         ,1/1/2020,2020,M01,1,JAN,January,4.3,2,100000,Total private,0,Total US,JO,Job openings
JTS100000000000002JOR         ,1/1/2021,2021,M01,1,JAN,January,4.6,2,100000,Total private,0,Total US,JO,Job openings
JTS100000000000003JOR         ,1/1/2019,2019,M01,1,JAN,January,5.2,3,100000,Total private,0,Total US,JO,Job openings
JTS100000000000003JOR         ,1/1/2020,2020,M01,1,JAN,January,4.5,3,100000,Total private,0,Total US,JO,Job openings
JTS100000000000003JOR         ,1/1/2021,2021,M01,1,JAN,January,5,3,100000,Total private,0,Total US,JO,Job openings
JTS100000000000004JOR         ,1/1/2019,2019,M01,1,JAN,January,5.2,4,100000,Total private,0,Total US,JO,Job openings
JTS100000000000004JOR         ,1/1/2020,2020,M01,1,JAN,January,4.9,4,100000,Total private,0,Total US,JO,Job openings
JTS100000000000004JOR         ,1/1/2021,2021,M01,1,JAN,January,5.3,4,100000,Total private,0,Total US,JO,Job openings
JTS100000000000005JOR         ,1/1/2019,2019,M01,1,JAN,January,5.6,5,100000,Total private,0,Total US,JO,Job openings
JTS100000000000005JOR         ,1/1/2020,2020,M01,1,JAN,January,4.9,5,100000,Total private,0,Total US,JO,Job openings
JTS100000000000005JOR         ,1/1/2021,2021,M01,1,JAN,January,5.1,5,100000,Total private,0,Total US,JO,Job openings
JTS100000000000006JOR         ,1/1/2019,2019,M01,1,JAN,January,4.3,6,100000,Total private,0,Total US,JO,Job openings
JTS100000000000006JOR         ,1/1/2020,2020,M01,1,JAN,January,4.4,6,100000,Total private,0,Total US,JO,Job openings
JTS100000000000006JOR         ,1/1/2021,2021,M01,1,JAN,January,4.5,6,100000,Total private,0,Total US,JO,Job openings
JTS110099000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,4,0,110099,Mining and logging,0,Total US,JO,Job openings
JTS110099000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,2.6,0,110099,Mining and logging,0,Total US,JO,Job openings
JTS110099000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,3.9,0,110099,Mining and logging,0,Total US,JO,Job openings
JTS230000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,3.9,0,230000,Construction,0,Total US,JO,Job openings
JTS230000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,3.7,0,230000,Construction,0,Total US,JO,Job openings
JTS230000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,3.9,0,230000,Construction,0,Total US,JO,Job openings
JTS300000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,3.3,0,300000,Manufacturing,0,Total US,JO,Job openings
JTS300000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,3.1,0,300000,Manufacturing,0,Total US,JO,Job openings
JTS300000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,4.2,0,300000,Manufacturing,0,Total US,JO,Job openings
JTS320000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,3.4,0,320000,Durable goods manufacturing,0,Total US,JO,Job openings
JTS320000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,3,0,320000,Durable goods manufacturing,0,Total US,JO,Job openings
JTS320000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,3.9,0,320000,Durable goods manufacturing,0,Total US,JO,Job openings
JTS340000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,3,0,340000,Nondurable goods manufacturing,0,Total US,JO,Job openings
JTS340000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,3.2,0,340000,Nondurable goods manufacturing,0,Total US,JO,Job openings
JTS340000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,4.7,0,340000,Nondurable goods manufacturing,0,Total US,JO,Job openings
JTS400000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,4.9,0,400000,"Trade, transportation, and utilities",0,Total US,JO,Job openings
JTS400000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,4.2,0,400000,"Trade, transportation, and utilities",0,Total US,JO,Job openings
JTS400000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,4.6,0,400000,"Trade, transportation, and utilities",0,Total US,JO,Job openings
JTS420000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,4.6,0,420000,Wholesale trade,0,Total US,JO,Job openings
JTS420000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,3,0,420000,Wholesale trade,0,Total US,JO,Job openings
JTS420000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,3.3,0,420000,Wholesale trade,0,Total US,JO,Job openings
JTS440000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,4.9,0,440000,Retail trade,0,Total US,JO,Job openings
JTS440000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,4.6,0,440000,Retail trade,0,Total US,JO,Job openings
JTS440000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,5,0,440000,Retail trade,0,Total US,JO,Job openings
JTS480099000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,5.4,0,480099,"Transportation, warehousing, and utilities",0,Total US,JO,Job openings
JTS480099000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,4.5,0,480099,"Transportation, warehousing, and utilities",0,Total US,JO,Job openings
JTS480099000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,5,0,480099,"Transportation, warehousing, and utilities",0,Total US,JO,Job openings
JTS510000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,4.7,0,510000,Information,0,Total US,JO,Job openings
JTS510000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,4.6,0,510000,Information,0,Total US,JO,Job openings
JTS510000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,4.6,0,510000,Information,0,Total US,JO,Job openings
JTS510099000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,4.4,0,510099,Financial activities,0,Total US,JO,Job openings
JTS510099000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,4.6,0,510099,Financial activities,0,Total US,JO,Job openings
JTS510099000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,3.4,0,510099,Financial activities,0,Total US,JO,Job openings
JTS520000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,4.3,0,520000,Finance and insurance,0,Total US,JO,Job openings
JTS520000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,4.7,0,520000,Finance and insurance,0,Total US,JO,Job openings
JTS520000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,3.3,0,520000,Finance and insurance,0,Total US,JO,Job openings
JTS530000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,4.9,0,530000,Real estate and rental and leasing,0,Total US,JO,Job openings
JTS530000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,4.2,0,530000,Real estate and rental and leasing,0,Total US,JO,Job openings
JTS530000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,3.5,0,530000,Real estate and rental and leasing,0,Total US,JO,Job openings
JTS540099000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,6.1,0,540099,Professional and business services,0,Total US,JO,Job openings
JTS540099000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,5.7,0,540099,Professional and business services,0,Total US,JO,Job openings
JTS540099000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,6.4,0,540099,Professional and business services,0,Total US,JO,Job openings
JTS600000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,5.3,0,600000,Education and health services,0,Total US,JO,Job openings
JTS600000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,5.1,0,600000,Education and health services,0,Total US,JO,Job openings
JTS600000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,5.6,0,600000,Education and health services,0,Total US,JO,Job openings
JTS610000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,3.1,0,610000,Educational services,0,Total US,JO,Job openings
JTS610000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,3,0,610000,Educational services,0,Total US,JO,Job openings
JTS610000000000000JOR         ,1/1/2021,2021,M01,1,JAN,January,4.2,0,610000,Educational services,0,Total US,JO,Job openings
JTS620000000000000JOR         ,1/1/2019,2019,M01,1,JAN,January,5.7,0,620000,Health care and social assistance,0,Total US,JO,Job openings
JTS620000000000000JOR         ,1/1/2020,2020,M01,1,JAN,January,5.5,0,620000,Health care and social assistance,0,Total US,JO,Job openings
