period_date,year,period,month,period_abbr,period_name,sizeclass_code,industry_code,industry_text,state_code,state_text,jobs,quits,hires
1/1/2019,2019,M01,1,JAN,January,0,0,Total nonfarm,0,Total US,4.7,2.3,3.8
2/1/2019,2019,M02,2,FEB,February,0,0,Total nonfarm,0,Total US,4.5,2.4,3.8
3/1/2019,2019,M03,3,MAR,March,0,0,Total nonfarm,0,Total US,4.7,2.3,3.8
4/1/2019,2019,M04,4,APR,April,0,0,Total nonfarm,0,Total US,4.6,2.3,4
5/1/2019,2019,M05,5,MAY,May,0,0,Total nonfarm,0,Total US,4.6,2.3,3.8
6/1/2019,2019,M06,6,JUN,June,0,0,Total nonfarm,0,Total US,4.5,2.3,3.8
7/1/2019,2019,M07,7,JUL,July,0,0,Total nonfarm,0,Total US,4.5,2.4,4
8/1/2019,2019,M08,8,AUG,August,0,0,Total nonfarm,0,Total US,4.5,2.4,3.9
9/1/2019,2019,M09,9,SEP,September,0,0,Total nonfarm,0,Total US,4.5,2.3,3.9
10/1/2019,2019,M10,10,OCT,October,0,0,Total nonfarm,0,Total US,4.6,2.3,3.8
11/1/2019,2019,M11,11,NOV,November,0,0,Total nonfarm,0,Total US,4.4,2.3,3.8
12/1/2019,2019,M12,12,DEC,December,0,0,Total nonfarm,0,Total US,4.2,2.3,3.9
1/1/2020,2020,M01,1,JAN,January,0,0,Total nonfarm,0,Total US,4.5,2.3,3.9
2/1/2020,2020,M02,2,FEB,February,0,0,Total nonfarm,0,Total US,4.4,2.2,3.9
3/1/2020,2020,M03,3,MAR,March,0,0,Total nonfarm,0,Total US,3.7,1.9,3.4
4/1/2020,2020,M04,4,APR,April,0,0,Total nonfarm,0,Total US,3.4,1.6,3
5/1/2020,2020,M05,5,MAY,May,0,0,Total nonfarm,0,Total US,3.9,1.7,6.2
6/1/2020,2020,M06,6,JUN,June,0,0,Total nonfarm,0,Total US,4.2,1.9,5.6
7/1/2020,2020,M07,7,JUL,July,0,0,Total nonfarm,0,Total US,4.6,2.3,4.5
8/1/2020,2020,M08,8,AUG,August,0,0,Total nonfarm,0,Total US,4.4,2.1,4.6
9/1/2020,2020,M09,9,SEP,September,0,0,Total nonfarm,0,Total US,4.5,2.3,4.2
10/1/2020,2020,M10,10,OCT,October,0,0,Total nonfarm,0,Total US,4.6,2.4,4.2
11/1/2020,2020,M11,11,NOV,November,0,0,Total nonfarm,0,Total US,4.5,2.3,4.2
12/1/2020,2020,M12,12,DEC,December,0,0,Total nonfarm,0,Total US,4.5,2.4,3.8
1/1/2021,2021,M01,1,JAN,January,0,0,Total nonfarm,0,Total US,4.7,2.3,3.8
2/1/2021,2021,M02,2,FEB,February,0,0,Total nonfarm,0,Total US,5,2.4,4
3/1/2021,2021,M03,3,MAR,March,0,0,Total nonfarm,0,Total US,5.4,2.5,4.2
4/1/2021,2021,M04,4,APR,April,0,0,Total nonfarm,0,Total US,6,2.8,4.2
