series_id,period_date,year,period,period_abbr,period_name,value,ratelevel_code,ratelevel_text,footnote_codes,seasonal,sizeclass_code,area_code,industry_code,industry_text,industry_sort,industry_display_level,state_code,state_text,state_sort,state_display_level,jobs,hires,layoffs,quits,separations,score,newscore,3score,area_rank,pop_rank,,,,,,
JTS000000000000000QUR         ,1/1/2019,2019,M01,JAN,January,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.7,3.8,1.1,2.3,3.7,2.9,4.9,5.4,,,,,,,,
JTS000000000000000QUR         ,2/1/2019,2019,M02,FEB,February,2.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.5,3.8,1.2,2.4,3.8,2.6,4.7,5.1,,,,,,,,
JTS000000000000000QUR         ,3/1/2019,2019,M03,MAR,March,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.7,3.8,1.1,2.3,3.7,2.9,4.9,5.4,,,,,,,,
JTS000000000000000QUR         ,4/1/2019,2019,M04,APR,April,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.6,4,1.3,2.3,3.8,2.2,4.3,5.1,,,,,,,,
JTS000000000000000QUR         ,5/1/2019,2019,M05,MAY,May,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.6,3.8,1.2,2.3,3.7,2.6,4.7,5.2,,,,,,,,
JTS000000000000000QUR         ,6/1/2019,2019,M06,JUN,June,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.5,3.8,1.2,2.3,3.7,2.5,4.5,5.1,,,,,,,,
JTS000000000000000QUR         ,7/1/2019,2019,M07,JUL,July,2.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.5,4,1.2,2.4,3.8,2.4,4.4,5.1,,,,,,,,
JTS000000000000000QUR         ,8/1/2019,2019,M08,AUG,August,2.4,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.5,3.9,1.2,2.4,3.8,2.5,4.6,5.1,,,,,,,,
JTS000000000000000QUR         ,9/1/2019,2019,M09,SEP,September,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.5,3.9,1.3,2.3,3.8,2.2,4.3,5,,,,,,,,
JTS000000000000000QUR         ,10/1/2019,2019,M10,OCT,October,2.3,R,Rate,,S,0,0,0,Total nonfarm,1,0,0,Total US,1,0,4.6,3.8,1.2,2.3,3.7,2.6,4.7,5.2,,,,,,,,
