period_date,year,period,period_abbr,value,industry_text,state_text,state_code,dataelement_code,dataelement_text,
2019-01-01,2019,M01,JAN,6.8,Accommodation and food services,Total US,00,HI,Hires,
2019-01-01,2019,M01,JAN,6.8,Accommodation and food services,Total US,00,JO,Job openings,
2019-01-01,2019,M01,JAN,1.5,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2019-01-01,2019,M01,JAN,0.1,Accommodation and food services,Total US,00,OS,Other separations,
2019-01-01,2019,M01,JAN,4.9,Accommodation and food services,Total US,00,QU,Quits,
2019-01-01,2019,M01,JAN,6.6,Accommodation and food services,Total US,00,TS,Total separations,
2019-02-01,2019,M02,FEB,6.5,Accommodation and food services,Total US,00,HI,Hires,
2019-02-01,2019,M02,FEB,5.9,Accommodation and food services,Total US,00,JO,Job openings,
2019-02-01,2019,M02,FEB,1.4,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2019-02-01,2019,M02,FEB,0.1,Accommodation and food services,Total US,00,OS,Other separations,
2019-02-01,2019,M02,FEB,5,Accommodation and food services,Total US,00,QU,Quits,
2019-02-01,2019,M02,FEB,6.6,Accommodation and food services,Total US,00,TS,Total separations,
2019-03-01,2019,M03,MAR,6.6,Accommodation and food services,Total US,00,HI,Hires,
2019-03-01,2019,M03,MAR,6.1,Accommodation and food services,Total US,00,JO,Job openings,
2019-03-01,2019,M03,MAR,1.6,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2019-03-01,2019,M03,MAR,0.1,Accommodation and food services,Total US,00,OS,Other separations,
2019-03-01,2019,M03,MAR,4.8,Accommodation and food services,Total US,00,QU,Quits,
2019-03-01,2019,M03,MAR,6.5,Accommodation and food services,Total US,00,TS,Total separations,
2019-04-01,2019,M04,APR,7.1,Accommodation and food services,Total US,00,HI,Hires,
2019-04-01,2019,M04,APR,6,Accommodation and food services,Total US,00,JO,Job openings,
2019-04-01,2019,M04,APR,1.8,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2019-04-01,2019,M04,APR,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2019-04-01,2019,M04,APR,4.9,Accommodation and food services,Total US,00,QU,Quits,
2019-04-01,2019,M04,APR,6.8,Accommodation and food services,Total US,00,TS,Total separations,
2019-05-01,2019,M05,MAY,6.5,Accommodation and food services,Total US,00,HI,Hires,
2019-05-01,2019,M05,MAY,6,Accommodation and food services,Total US,00,JO,Job openings,
2019-05-01,2019,M05,MAY,1.2,Accommodation and food services,Total US,00,LD,Layoffs and discharges,
2019-05-01,2019,M05,MAY,0.2,Accommodation and food services,Total US,00,OS,Other separations,
2019-05-01,2019,M05,MAY,4.9,Accommodation and food services,Total US,00,QU,Quits,
