year,period,month,rate,ratelevel_code,industry_text,state_text,state_code,dataelement_code,dataelement_text
2019,M01,1,3.8,R,Total nonfarm,Total US,0,HI,Hires
2020,M01,1,3.9,R,Total nonfarm,Total US,0,HI,Hires
2021,M01,1,3.8,R,Total nonfarm,Total US,0,HI,Hires
2019,M01,1,4.7,R,Total nonfarm,Total US,0,JO,Job openings
2020,M01,1,4.5,R,Total nonfarm,Total US,0,JO,Job openings
2021,M01,1,4.7,R,Total nonfarm,Total US,0,JO,Job openings
2019,M01,1,1.1,R,Total nonfarm,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.2,R,Total nonfarm,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.2,R,Total nonfarm,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.2,R,Total nonfarm,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Total nonfarm,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Total nonfarm,Total US,0,OS,Other separations
2019,M01,1,2.3,R,Total nonfarm,Total US,0,QU,Quits
2020,M01,1,2.3,R,Total nonfarm,Total US,0,QU,Quits
2021,M01,1,2.3,R,Total nonfarm,Total US,0,QU,Quits
2019,M01,1,3.7,R,Total nonfarm,Total US,0,TS,Total separations
2020,M01,1,3.8,R,Total nonfarm,Total US,0,TS,Total separations
2021,M01,1,3.7,R,Total nonfarm,Total US,0,TS,Total separations
2019,M01,1,0.9,R,Total nonfarm,Total US,0,UO,Unemployed persons per job opening ratio
2020,M01,1,0.8,R,Total nonfarm,Total US,0,UO,Unemployed persons per job opening ratio
2021,M01,1,1.4,R,Total nonfarm,Total US,0,UO,Unemployed persons per job opening ratio
2019,M01,1,3.7,R,Total nonfarm,Total US,0,HI,Hires
2020,M01,1,3.8,R,Total nonfarm,Total US,0,HI,Hires
2021,M01,1,3.7,R,Total nonfarm,Total US,0,HI,Hires
2019,M01,1,4.7,R,Total nonfarm,Total US,0,JO,Job openings
2020,M01,1,4.5,R,Total nonfarm,Total US,0,JO,Job openings
2021,M01,1,4.8,R,Total nonfarm,Total US,0,JO,Job openings
2019,M01,1,1.4,R,Total nonfarm,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.5,R,Total nonfarm,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.6,R,Total nonfarm,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.3,R,Total nonfarm,Total US,0,OS,Other separations
2020,M01,1,0.3,R,Total nonfarm,Total US,0,OS,Other separations
2021,M01,1,0.3,R,Total nonfarm,Total US,0,OS,Other separations
2019,M01,1,2.4,R,Total nonfarm,Total US,0,QU,Quits
2020,M01,1,2.3,R,Total nonfarm,Total US,0,QU,Quits
2021,M01,1,2.3,R,Total nonfarm,Total US,0,QU,Quits
2019,M01,1,4.1,R,Total nonfarm,Total US,0,TS,Total separations
2020,M01,1,4.1,R,Total nonfarm,Total US,0,TS,Total separations
2021,M01,1,4.1,R,Total nonfarm,Total US,0,TS,Total separations
2019,M01,1,4.2,R,Total private,Total US,0,HI,Hires
2020,M01,1,4.3,R,Total private,Total US,0,HI,Hires
2021,M01,1,4.2,R,Total private,Total US,0,HI,Hires
2019,M01,1,5.0,R,Total private,Total US,0,JO,Job openings
2020,M01,1,4.7,R,Total private,Total US,0,JO,Job openings
2021,M01,1,5.0,R,Total private,Total US,0,JO,Job openings
2019,M01,1,1.2,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.3,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.3,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2019,M01,1,2.6,R,Total private,Total US,0,QU,Quits
2020,M01,1,2.6,R,Total private,Total US,0,QU,Quits
2021,M01,1,2.6,R,Total private,Total US,0,QU,Quits
2019,M01,1,4.0,R,Total private,Total US,0,TS,Total separations
2020,M01,1,4.2,R,Total private,Total US,0,TS,Total separations
2021,M01,1,4.1,R,Total private,Total US,0,TS,Total separations
2019,M01,1,4.1,R,Total private,Total US,0,HI,Hires
2020,M01,1,4.6,R,Total private,Total US,0,HI,Hires
2021,M01,1,4.1,R,Total private,Total US,0,HI,Hires
2019,M01,1,4.4,R,Total private,Total US,0,JO,Job openings
2020,M01,1,5.2,R,Total private,Total US,0,JO,Job openings
2021,M01,1,5.5,R,Total private,Total US,0,JO,Job openings
2019,M01,1,1.1,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.0,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.4,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.4,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2019,M01,1,2.4,R,Total private,Total US,0,QU,Quits
2020,M01,1,2.3,R,Total private,Total US,0,QU,Quits
2021,M01,1,2.0,R,Total private,Total US,0,QU,Quits
2019,M01,1,3.8,R,Total private,Total US,0,TS,Total separations
2020,M01,1,3.7,R,Total private,Total US,0,TS,Total separations
2021,M01,1,3.7,R,Total private,Total US,0,TS,Total separations
2019,M01,1,4.4,R,Total private,Total US,0,HI,Hires
2020,M01,1,4.3,R,Total private,Total US,0,HI,Hires
2021,M01,1,4.3,R,Total private,Total US,0,HI,Hires
2019,M01,1,5.0,R,Total private,Total US,0,JO,Job openings
2020,M01,1,4.3,R,Total private,Total US,0,JO,Job openings
2021,M01,1,4.6,R,Total private,Total US,0,JO,Job openings
2019,M01,1,1.2,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.3,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.1,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2019,M01,1,2.9,R,Total private,Total US,0,QU,Quits
2020,M01,1,2.8,R,Total private,Total US,0,QU,Quits
2021,M01,1,2.9,R,Total private,Total US,0,QU,Quits
2019,M01,1,4.4,R,Total private,Total US,0,TS,Total separations
2020,M01,1,4.3,R,Total private,Total US,0,TS,Total separations
2021,M01,1,4.2,R,Total private,Total US,0,TS,Total separations
2019,M01,1,4.5,R,Total private,Total US,0,HI,Hires
2020,M01,1,4.8,R,Total private,Total US,0,HI,Hires
2021,M01,1,4.5,R,Total private,Total US,0,HI,Hires
2019,M01,1,5.2,R,Total private,Total US,0,JO,Job openings
2020,M01,1,4.5,R,Total private,Total US,0,JO,Job openings
2021,M01,1,5.0,R,Total private,Total US,0,JO,Job openings
2019,M01,1,1.2,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.4,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.4,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2019,M01,1,2.6,R,Total private,Total US,0,QU,Quits
2020,M01,1,2.9,R,Total private,Total US,0,QU,Quits
2021,M01,1,2.9,R,Total private,Total US,0,QU,Quits
2019,M01,1,4.1,R,Total private,Total US,0,TS,Total separations
2020,M01,1,4.5,R,Total private,Total US,0,TS,Total separations
2021,M01,1,4.5,R,Total private,Total US,0,TS,Total separations
2019,M01,1,4.3,R,Total private,Total US,0,HI,Hires
2020,M01,1,3.9,R,Total private,Total US,0,HI,Hires
2021,M01,1,4.3,R,Total private,Total US,0,HI,Hires
2019,M01,1,5.2,R,Total private,Total US,0,JO,Job openings
2020,M01,1,4.9,R,Total private,Total US,0,JO,Job openings
2021,M01,1,5.3,R,Total private,Total US,0,JO,Job openings
2019,M01,1,1.4,R,Total private,Total US,0,LD,Layoffs and discharges
2020,M01,1,1.5,R,Total private,Total US,0,LD,Layoffs and discharges
2021,M01,1,1.7,R,Total private,Total US,0,LD,Layoffs and discharges
2019,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2020,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2021,M01,1,0.2,R,Total private,Total US,0,OS,Other separations
2019,M01,1,2.7,R,Total private,Total US,0,QU,Quits
2020,M01,1,2.5,R,Total private,Total US,0,QU,Quits
2021,M01,1,2.4,R,Total private,Total US,0,QU,Quits
2019,M01,1,4.3,R,Total private,Total US,0,TS,Total separations
2020,M01,1,4.2,R,Total private,Total US,0,TS,Total separations
2021,M01,1,4.3,R,Total private,Total US,0,TS,Total separations
2019,M01,1,3.2,R,Total private,Total US,0,HI,Hires
2020,M01,1,3.6,R,Total private,Total US,0,HI,Hires
2021,M01,1,3.6,R,Total private,Total US,0,HI,Hires
2019,M01,1,5.6,R,Total private,Total US,0,JO,Job openings
2020,M01,1,4.9,R,Total private,Total US,0,JO,Job openings
