period_date,year,period,value,sizeclass_code,area_code,industry_code,industry_text,industry_sort,industry_display_level,state_code,state_text,state_sort,state_display_level,dataelement_code,dataelement_text,dataelement_sort,dataelement_display_level
1/1/2019,2019,M01,3.8,0,0,0,Total nonfarm,1,0,0,Total US,1,0,HI,Hires,2,0
1/1/2020,2020,M01,3.9,0,0,0,Total nonfarm,1,0,0,Total US,1,0,HI,Hires,2,0
1/1/2021,2021,M01,3.8,0,0,0,Total nonfarm,1,0,0,Total US,1,0,HI,Hires,2,0
1/1/2019,2019,M01,4.7,0,0,0,Total nonfarm,1,0,0,Total US,1,0,JO,Job openings,1,0
1/1/2020,2020,M01,4.5,0,0,0,Total nonfarm,1,0,0,Total US,1,0,JO,Job openings,1,0
1/1/2021,2021,M01,4.7,0,0,0,Total nonfarm,1,0,0,Total US,1,0,JO,Job openings,1,0
1/1/2019,2019,M01,1.1,0,0,0,Total nonfarm,1,0,0,Total US,1,0,LD,Layoffs and discharges,5,1
1/1/2020,2020,M01,1.2,0,0,0,Total nonfarm,1,0,0,Total US,1,0,LD,Layoffs and discharges,5,1
1/1/2021,2021,M01,1.2,0,0,0,Total nonfarm,1,0,0,Total US,1,0,LD,Layoffs and discharges,5,1
1/1/2019,2019,M01,0.2,0,0,0,Total nonfarm,1,0,0,Total US,1,0,OS,Other separations,6,1
1/1/2020,2020,M01,0.2,0,0,0,Total nonfarm,1,0,0,Total US,1,0,OS,Other separations,6,1
1/1/2021,2021,M01,0.2,0,0,0,Total nonfarm,1,0,0,Total US,1,0,OS,Other separations,6,1
1/1/2019,2019,M01,2.3,0,0,0,Total nonfarm,1,0,0,Total US,1,0,QU,Quits,4,1
1/1/2020,2020,M01,2.3,0,0,0,Total nonfarm,1,0,0,Total US,1,0,QU,Quits,4,1
1/1/2021,2021,M01,2.3,0,0,0,Total nonfarm,1,0,0,Total US,1,0,QU,Quits,4,1
1/1/2019,2019,M01,3.7,0,0,0,Total nonfarm,1,0,0,Total US,1,0,TS,Total separations,3,0
1/1/2020,2020,M01,3.8,0,0,0,Total nonfarm,1,0,0,Total US,1,0,TS,Total separations,3,0
1/1/2021,2021,M01,3.7,0,0,0,Total nonfarm,1,0,0,Total US,1,0,TS,Total separations,3,0
1/1/2019,2019,M01,0.9,0,0,0,Total nonfarm,1,0,0,Total US,1,0,UO,Unemployed persons per job opening ratio,7,0
1/1/2020,2020,M01,0.8,0,0,0,Total nonfarm,1,0,0,Total US,1,0,UO,Unemployed persons per job opening ratio,7,0
1/1/2021,2021,M01,1.4,0,0,0,Total nonfarm,1,0,0,Total US,1,0,UO,Unemployed persons per job opening ratio,7,0
1/1/2019,2019,M01,4.2,0,0,100000,Total private,2,1,0,Total US,1,0,HI,Hires,2,0
1/1/2020,2020,M01,4.3,0,0,100000,Total private,2,1,0,Total US,1,0,HI,Hires,2,0
1/1/2021,2021,M01,4.2,0,0,100000,Total private,2,1,0,Total US,1,0,HI,Hires,2,0
1/1/2019,2019,M01,4.1,1,0,100000,Total private,2,1,0,Total US,1,0,HI,Hires,2,0
1/1/2020,2020,M01,4.6,1,0,100000,Total private,2,1,0,Total US,1,0,HI,Hires,2,0
