series_id,period_date,year,period,month,period_abbr,period_name,value,sizeclass_code,industry_code,industry_text,state_code,state_text,dataelement_code,dataelement_text
JTS000000000000000QUR         ,1/1/2019,2019,M01,1,JAN,January,2.3,0,0,Total nonfarm,0,Total US,QU,Quits
JTS000000000000000QUR         ,1/1/2020,2020,M01,1,JAN,January,2.3,0,0,Total nonfarm,0,Total US,QU,Quits
JTS000000000000000QUR         ,1/1/2021,2021,M01,1,JAN,January,2.3,0,0,Total nonfarm,0,Total US,QU,Quits
JTS100000000000000QUR         ,1/1/2019,2019,M01,1,JAN,January,2.6,0,100000,Total private,0,Total US,QU,Quits
JTS100000000000000QUR         ,1/1/2020,2020,M01,1,JAN,January,2.6,0,100000,Total private,0,Total US,QU,Quits
JTS100000000000000QUR         ,1/1/2021,2021,M01,1,JAN,January,2.6,0,100000,Total private,0,Total US,QU,Quits
JTS100000000000001QUR         ,1/1/2019,2019,M01,1,JAN,January,2.4,1,100000,Total private,0,Total US,QU,Quits
JTS100000000000001QUR         ,1/1/2020,2020,M01,1,JAN,January,2.3,1,100000,Total private,0,Total US,QU,Quits
JTS100000000000001QUR         ,1/1/2021,2021,M01,1,JAN,January,2,1,100000,Total private,0,Total US,QU,Quits
JTS100000000000002QUR         ,1/1/2019,2019,M01,1,JAN,January,2.9,2,100000,Total private,0,Total US,QU,Quits
JTS100000000000002QUR         ,1/1/2020,2020,M01,1,JAN,January,2.8,2,100000,Total private,0,Total US,QU,Quits
JTS100000000000002QUR         ,1/1/2021,2021,M01,1,JAN,January,2.9,2,100000,Total private,0,Total US,QU,Quits
JTS100000000000003QUR         ,1/1/2019,2019,M01,1,JAN,January,2.6,3,100000,Total private,0,Total US,QU,Quits
JTS100000000000003QUR         ,1/1/2020,2020,M01,1,JAN,January,2.9,3,100000,Total private,0,Total US,QU,Quits
JTS100000000000003QUR         ,1/1/2021,2021,M01,1,JAN,January,2.9,3,100000,Total private,0,Total US,QU,Quits
JTS100000000000004QUR         ,1/1/2019,2019,M01,1,JAN,January,2.7,4,100000,Total private,0,Total US,QU,Quits
JTS100000000000004QUR         ,1/1/2020,2020,M01,1,JAN,January,2.5,4,100000,Total private,0,Total US,QU,Quits
JTS100000000000004QUR         ,1/1/2021,2021,M01,1,JAN,January,2.4,4,100000,Total private,0,Total US,QU,Quits
JTS100000000000005QUR         ,1/1/2019,2019,M01,1,JAN,January,2,5,100000,Total private,0,Total US,QU,Quits
JTS100000000000005QUR         ,1/1/2020,2020,M01,1,JAN,January,2.2,5,100000,Total private,0,Total US,QU,Quits
