date,year,month,state,hi_level,jo_level,ld_level,qu_level,ts_level,hi_rate,jo_rate,ld_rate,qu_rate,ts_rate,raw_score,quit_score,area_rank,pop_rank,FIPS,Abbr,region
1/1/2019,2019,01,Alabama,76,95,23,46,74,3.7,4.4,1.1,2.2,3.6,7.89,67,30,24," ""01000""",AL,South
1/1/2019,2019,01,Alaska,20,22,6,13,20,6.1,6.3,1.8,3.9,6.1,12.59,81,1,48," ""02000""",AK,West
1/1/2019,2019,01,Arizona,123,196,27,85,118,4.2,6.3,0.9,2.9,4.1,10.99,76,6,14," ""04000""",AZ,West
1/1/2019,2019,01,Arkansas,54,56,14,33,50,4.2,4.2,1.1,2.6,3.9,8.58,69,29,33," ""05000""",AR,South
1/1/2019,2019,01,California,559,755,177,356,572,3.2,4.2,1,2.1,3.3,7.29,65,3,1," ""06000""",CA,West
1/1/2019,2019,01,Colorado,117,156,32,72,110,4.2,5.4,1.2,2.6,4,9.38,72,8,21," ""08000""",CO,West
1/1/2019,2019,01,Connecticut,52,61,17,24,44,3.1,3.5,1,1.4,2.6,5.78,61,48,29," ""09000""",CT,North
1/1/2019,2019,01,Delaware,22,24,7,12,20,4.7,4.9,1.5,2.6,4.3,9.04,70,49,45," ""10000""",DE,North
1/1/2019,2019,01,Florida,340,455,85,215,317,3.8,4.9,1,2.4,3.6,8.69,69,22,3," ""12000""",FL,South
1/1/2019,2019,01,Georgia,178,227,49,106,167,3.9,4.7,1.1,2.3,3.6,8.35,68,24,8," ""13000""",GA,South
1/1/2019,2019,01,Hawaii,31,39,7,20,29,4.7,5.6,1.1,3,4.4,10.64,75,43,40," ""15000""",HI,West
1/1/2019,2019,01,Idaho,36,40,7,23,31,4.8,5.1,0.9,3.1,4.1,10.66,75,14,38," ""16000""",ID,West
1/1/2019,2019,01,Illinois,226,314,54,124,184,3.7,4.9,0.9,2,3,8.15,68,25,6," ""17000""",IL,Midwest
1/1/2019,2019,01,Indiana,131,176,38,85,127,4.1,5.3,1.2,2.7,4,9.31,71,38,17," ""18000""",IN,Midwest
1/1/2019,2019,01,Iowa,55,75,16,33,51,3.5,4.5,1,2.1,3.2,7.7,66,26,31," ""19000""",IA,Midwest
1/1/2019,2019,01,Kansas,48,75,15,30,47,3.4,5,1.1,2.1,3.3,7.88,67,15,35," ""20000""",KS,Midwest
1/1/2019,2019,01,Kentucky,82,92,25,52,80,4.2,4.5,1.3,2.7,4.1,8.66,69,37,26," ""21000""",KY,South
1/1/2019,2019,01,Louisiana,92,89,24,57,86,4.6,4.3,1.2,2.9,4.3,9.23,71,31,25," ""22000""",LA,South
1/1/2019,2019,01,Maine,25,32,8,11,21,3.9,4.8,1.3,1.7,3.3,7.46,66,39,42," ""23000""",ME,North
1/1/2019,2019,01,Maryland,105,143,28,65,100,3.8,4.9,1,2.4,3.6,8.69,69,42,18," ""24000""",MD,South
